Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,10926.624750730989,344.9060348228252,3075.3940927224508,3257.0811425569354,2817.7626617213064,1051.9497850443508,379.5310338631257,3.759567881684639,9.996801047408386,19.29795080709824,27.31673523665081,42.80652156280365,55.798342869198926,77.32327889701739,108.6068365209631,144.85195244996225,167.34430309791162,212.9077903691964,247.89908360170529,297.64641428491086,317.3550636890958,343.26387939608816,339.48024338560936,316.1542342249265,267.18528892336064,230.7626204861406,190.54321881354323,159.44819151186562,144.62966831383864,126.69363316080376,123.86421930747936,126.82674760993078,123.17022613424831,124.02777143240955,125.64947045955498,128.83200105269597,129.1934679170199,133.28194473014318,133.71767360156602,137.32876038092178,134.61684059142274,134.33888445512042,133.47210790987705,135.9694093932583,133.00312166541428,135.81618846932477,138.2667947190064,140.8648360534531,132.34056626961632,156.03967762316796,165.68893979479634,172.04826076034527,189.2495245297516,223.8378307693021,232.8838588029246,250.8345784967902,281.38578087031107,288.28409642962663,281.42793774233184,262.14172021273714,244.64640306105392,207.63336509678433,183.38930494934783,157.87333050141027,137.22935952781117,115.90619971355702,101.85743191258848,86.22166224461195,74.86980031227486,69.99718464714043,65.13677823611845,62.65285388129651,60.40483017378094,61.41344273043882,58.3869111633218,57.2136656823588,54.65073763421941,52.92720787296883,48.44573924982109,43.26892325039506,37.240383461746134,31.099916306720136,22.665073100834483,15.398382058873546,9.965838715672971,5.2423804170057045,1.4127861125094618,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,14462.77654692055,402.88924059314525,3711.35986220457,4410.936325620682,3943.0162293395656,1484.9965073948292,509.57838176775886,4.6919330564886215,12.819204235926184,24.705786082453265,35.227698699857065,53.47077587841711,68.06046861856095,86.64657540496809,117.26679861647398,160.99082662685058,199.3165696868203,236.26355624799052,305.11153558199845,350.1741578719148,393.987930969966,403.9808120103733,419.2574062583223,375.5991200382789,339.7272765601955,280.0889126971775,246.8617576546817,210.5908158198391,193.750266725712,174.62504435156976,168.2540672444523,168.5043643980098,165.25743771299474,163.4402397992439,163.28518677834882,168.70270769870277,171.59868288797878,176.8487629012017,178.39132431930005,182.11238768315502,179.21315105297322,178.96276238016458,176.96894301236236,180.07388797467857,181.570964965653,186.5742892029144,189.0048989072541,194.24363167848537,199.0520892529373,219.5836668642362,240.32675200851375,255.5817832331831,276.92507793866594,326.7121755862977,341.49574451912946,353.2003417427634,389.85388943032456,400.4973868243636,373.32021328356,351.53316231764467,330.8749823959876,291.496199202877,251.52527286476814,217.34768433747612,192.86145433325345,165.32624581465083,135.35771410081972,122.59048347755072,108.43171101062039,100.58738820129757,94.57570610074607,91.97140625133795,88.09099835022516,86.19907306446102,81.65664235239012,77.19535006161031,72.4047494741256,67.80434147629111,64.93599267817359,57.733095173283,48.847604795479185,39.36802882895899,32.938793145999554,20.724216090477665,13.636552713111383,9.16874227146511,4.8209150587833385,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,41353.14188135723,965.2369099960925,12945.578386392302,11165.748205387496,10712.653428122449,3944.4015217363763,1619.5234297225363,5.613847792473383,8.857667675266171,25.974440523405637,53.31944876812514,92.02642565470956,167.80227973042474,247.93216971598457,363.71063013570335,516.9945537548541,694.7213169279004,911.1806452756018,1135.171956658223,1327.2475300505928,1471.1662519321585,1524.1310249650294,1395.9267773311492,1288.0590757909904,1092.9021182400627,878.9128965103218,709.1642389554172,646.4174523328517,538.9026273502111,498.8803133481193,475.57919524602266,469.37164337651177,452.79876198972937,453.5275620970146,446.39272692681277,450.4703934860122,449.63040795283797,451.92718295419917,445.7422957830703,452.44748238596526,441.0055794833461,432.66448235927527,419.644209940616,419.8455130541299,413.6849888858776,425.33201786260287,434.7257719720317,453.3598321839234,456.94099097855764,492.8491751577943,543.6075982799819,609.1750298486402,697.3421222977963,793.3040752604552,867.5932291370932,943.6890102668086,1045.5599217112365,1056.2151287824274,1063.9422733652657,1066.829570063222,985.4789335634069,841.1156713413665,742.4084624847313,620.6177404616017,491.39383946298517,410.6479099904757,344.32724205381686,294.05607084385787,267.68913847452615,253.19786719232326,245.5671594710249,247.74999761582592,251.2517373439896,260.4657447868985,257.4370740390504,254.38538951918065,250.34157023249898,232.87499306651875,208.23056307130418,182.55575853509683,151.18956931793454,114.580304787814,91.80887192115965,61.398981747951154,37.531632187345906,23.282468819193404,11.343326516538566,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,45569.865478099746,987.6410769552228,12349.420644378653,12286.410987132724,12850.85886682305,4885.59340547309,2209.9404973369915,8.462281054479027,12.233811595550065,30.553050103796878,60.90154517324049,102.802482437472,160.76075278486937,256.66807830090056,355.2590755049144,495.0804470148764,693.6194054457164,869.0041691633946,1106.0625873533606,1290.9065652721122,1378.6984356037494,1397.3991556352105,1333.6935260242235,1176.4097561201809,1020.5920322696963,871.0561923486678,716.8983721274658,644.7870856393279,561.4348141794476,506.2135636370263,489.5980733829432,480.62974349601205,470.0537196659207,472.9726238257279,473.08425562692634,478.43334368408944,484.4743493611951,490.03867375234796,487.3861670549205,495.4556533983838,488.5956203192591,482.95591105220717,474.451566905107,472.9180235679544,471.1607937698334,486.2049724855476,495.64889076518267,516.5963020620346,569.0636406304062,614.7841025047952,679.469096366129,753.8846037268187,822.6375628864209,896.9247228784111,1045.941846128163,1139.688330670848,1210.4807074779296,1324.3776937060354,1337.0100027642288,1247.4069483587725,1152.9122498786066,1046.3125914511802,873.2816068956346,730.790659230143,608.0817263844023,509.6160375289706,428.3972089422377,370.0300727760173,334.231973839815,318.0105205013634,307.5693537918538,310.70793903050065,308.24605147015694,325.43574908807085,334.4761128895578,341.6565333772008,333.5014249048893,321.8570164041524,294.0410309345227,251.30080667891852,205.59623799187838,161.9227361384282,125.6950144298247,80.38945425630607,50.746042591284386,28.89662600208537,14.33757362750101,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,52773.46816984314,1131.9609251922338,13550.701512026524,13864.168602318929,14734.206115071942,6146.470733072221,3345.960282161297,10.121354476008637,15.4198271991576,36.683864217719005,63.06253518326039,111.4566184461796,188.42260921594035,297.7595451041094,409.0345713498589,573.3286880696777,747.7512623286681,973.9650633995208,1153.5030762847973,1421.4666245823464,1509.4120506402273,1564.526697450233,1444.6036329543372,1344.181694182458,1099.2791072832092,939.0482180475957,779.6353968034523,704.0182001012926,618.0313250074067,560.7654262720279,545.1112330995725,532.172292701492,521.3812445706635,523.7160181987583,528.0149810578076,532.7443097466726,542.3386068699182,547.2845751756946,547.8940766687008,555.7857217786468,553.2931383017801,548.9738919158854,544.942479327693,543.5854422725017,547.3444201856505,564.2834777883854,578.1130756870978,603.1457558570537,640.2264967689249,720.9712477162483,760.0311652490518,831.1156081756293,947.3501417885243,1060.6023434225813,1153.3920135769051,1340.699454054458,1425.241296359227,1457.7636726100266,1484.0786382412052,1466.8207880869058,1309.7507082974118,1197.7630475417468,1059.6284029173219,884.5148882284275,708.7836336609822,603.1489475502755,515.381086107657,454.7630928193581,418.11000336771264,408.3802781965274,403.7460254631724,411.9535148174373,415.0230824606456,445.23272993285485,477.4334504671724,508.86553583944846,507.2200700778217,494.2540466122463,461.29097156837537,384.5754792801664,303.043339757817,238.70837271049407,188.0262796823021,116.54655752065756,75.96202625645506,45.124806879822884,22.342795975689963,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,62752.22466407942,1001.5205728146113,11284.816349002682,15065.329953763221,17819.665614218236,10256.459638595223,7324.432535685456,0.0,15.993623661823051,34.91546332997619,60.23967335389297,107.62128494101731,176.5028813892007,256.19820215836,350.0494439803412,485.3269095250034,617.6921366799763,808.5750112590097,959.0207170237743,1161.9882152406924,1241.6251858638525,1283.7342425939516,1204.3187412542366,1110.9145430393319,932.9100568982386,795.3587098635962,683.3518797610178,606.7553473968512,557.5055306106491,512.2495031170213,505.19587590721085,501.43774529297525,497.06524106470033,492.04856088567396,501.0405152453308,519.4318788981084,522.5702305564475,534.6591851497833,559.8459447831989,582.9201245668963,586.080009476887,602.2714510835115,624.9537871332932,641.921152311896,657.5765778069286,690.4896754736392,732.0219691957457,818.8347818309961,863.0229461011311,923.1668256522617,1032.265094222085,1110.0380858967399,1140.9825155211129,1244.143862923316,1464.5297227943838,1544.7940978573945,1642.7015688463775,1787.8268858960978,1842.3486773605684,1683.5293430324048,1594.4506328899965,1480.3945076672321,1283.9257135326095,1105.4228201006713,995.7173677622701,884.5541616464627,812.1559269368254,756.4094814980186,725.7183180464658,736.1537896832917,759.5849772394927,774.9528078189362,817.7549081661934,899.6682393039595,988.3668403926367,1078.2919930188343,1091.994510985321,1070.6747287331846,1006.0440433607263,876.2685419915524,671.7643680167267,554.6509913088556,408.8196585694802,270.62775114434027,149.06260132165897,100.99168956270321,32.855593250955025,12.386064421117673,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,68393.89960109361,1450.8468960418768,13402.906695464702,16203.399926583767,18377.50666807879,11474.009243872102,7485.230171052385,0.0,17.936680156403558,40.16955908890311,86.50136786021194,148.93816743245557,273.2675718870008,388.1158146971634,495.91773491973845,700.7470227600772,854.4077402436187,982.5019600322687,1161.5835210151904,1417.1068680506262,1455.519835936265,1481.6270880142833,1439.7388339729293,1267.271072821708,1046.1972238823785,861.4641656710509,734.7413630643068,637.9191978708673,611.7823675247369,548.9791629302216,552.0312038619101,551.6758501279033,544.0003806970806,533.1938079606562,543.6967840730426,549.3990881712098,549.9476733068037,561.3077489202557,594.3086620528171,617.4315259294752,635.4545811414562,653.8912652528452,682.860968150801,704.2050113663588,727.272593742216,765.2340513744824,814.0382489871073,862.0786695605304,889.8318136577307,1011.3365236742717,1061.5227462489836,1154.4259162248518,1224.8520179319642,1388.5992510434226,1452.3816795783675,1582.5946695480984,1722.7696443145264,1784.3637870990915,1774.3791530069211,1728.0533525792407,1671.5913784805964,1505.5250598099676,1387.9707584617415,1240.435741516674,1112.930283850572,980.9363488783824,913.2330215794119,870.4818729403979,842.1521457429407,858.6301747603387,882.8497138420047,885.2935195087382,908.3289804112636,960.5761649787842,1018.1612758625968,1072.848927647765,1079.697376932912,1072.7048077617385,1014.04224769123,866.6237199628447,712.036539742363,588.3097011552688,433.14738875501365,290.36646498598736,193.89145733389043,108.04827905386736,40.2582842637236,13.254975765779689,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,66569.13057920628,1318.0183566613152,12362.403181685995,15364.882484480418,18394.306293175014,11415.677076128417,7713.843187075115,0.0,17.860744386568992,27.739726664340733,54.19952363757594,145.30170783889028,239.42535102316998,345.37664857710126,488.114654533668,657.0444014578195,773.0843624770712,905.1405491011114,1119.332657935947,1255.9932439537895,1385.704505336568,1365.8348811145365,1332.8266442382092,1149.8827586514951,987.8259008935437,754.2891847455365,675.4440917803673,587.2360170456269,537.4055325494912,508.81037793001053,512.7091827821669,511.5816286142965,510.2958811817224,496.2097302866958,506.32800802686586,518.0779318403022,516.4437788351829,527.0387645437197,562.2983268338521,579.2796272160348,601.3232260230109,622.0386322551825,641.2911892148107,665.5747818950313,697.4970967628533,724.3139114186647,777.7822725633496,830.0534967333832,912.1312925433529,968.3792994143413,1050.7824979704737,1142.5476950297693,1272.4783125842425,1331.2197637264344,1440.5064088312936,1560.562171002402,1708.8202923758838,1711.3617829018187,1776.1991594701615,1809.7126732263705,1701.2276944182138,1524.7347012808145,1414.9356383276086,1255.1959202604826,1076.2382742086932,982.4518074838808,905.3523201047487,875.9113446297589,844.1193334189995,842.9402692176437,879.2996159433962,897.706951508782,902.6844475093758,948.8954899525309,1004.881301890128,1063.8191073705052,1077.4654288040615,1074.2991601419762,1014.8165958291941,925.7550535477228,760.1816294002017,608.6181200923653,475.77164559168455,337.30737952391706,193.8241995239569,107.83972501053785,61.06925116595394,13.075891073037095,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,67584.15663153579,1429.982220560708,13521.529248741997,15357.788853210348,19271.168574403247,11061.631660624018,6942.056073995448,0.0,10.949188744413085,27.873693376562233,62.700861780369216,144.03387481872724,251.38034175532601,386.8442592426098,546.2000008427003,729.9522151937442,880.6344318581056,1082.818334113092,1247.0806036418414,1381.0550717653962,1501.788355822648,1473.6385365035815,1367.617805229793,1229.4832511309455,1051.4339761190897,833.9821809974278,742.0444863663329,644.7501993765378,583.2272778648238,548.7165028848036,524.0183214686582,517.8467561842814,517.8688389617577,498.2805144644631,508.7428463667329,516.4863740058272,512.8541486034211,513.6608775201223,543.4158851813729,559.6973645324583,579.515019032705,599.180912237751,622.1004687827838,647.6833362198754,675.0379189659802,702.0194125196249,763.6739594296033,834.9062561196275,884.916906689386,949.6217008181343,1109.5670549796182,1214.0135126722225,1295.5397963494445,1392.1057892677265,1537.9301699838775,1660.366175873674,1739.1564954997991,1850.2709229487616,1931.0979203406373,1887.0623276005729,1717.4566466196577,1600.1139978682747,1446.0548193786015,1258.4073567497712,1119.056843734624,1005.7384143680143,927.0690443418547,849.6100192849495,817.7767873371397,806.0566160357214,835.6974412387998,834.6611164723853,837.9888828124147,873.4821436377797,896.0869946105626,936.1380631439923,940.2140614700716,954.6621517012145,895.7414065203607,818.2786589684612,681.0106808586587,577.2000868914263,437.1311486139373,316.3386992740073,203.9806397014773,120.39410840373456,50.495905089316,10.470463358791188,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),55991.759184168994,1234.9227795992035,11317.037108321696,12841.483457861372,15537.640482931985,9323.381177397066,5737.2941780576675,0.0,10.94894003756268,26.24072355811273,58.81073739059268,126.78562323959885,217.6207017048972,331.6337569134804,462.88229675495904,614.3133442967571,738.9611803399471,864.3178627210854,1056.3390859928245,1171.357464125908,1267.3447379571455,1240.983903740207,1195.6497420616272,999.6169924000819,866.9308185226274,686.3496415744203,614.8723345890646,536.0459567216081,507.3972839079499,456.70304333890124,438.5941374298865,430.63652443960234,428.8486832089141,416.11400333966554,428.77011566224746,438.18106832319353,438.80679468881533,440.0137434897022,463.1079601253652,476.4690336243476,490.3808658818952,505.815171832204,526.3416160191798,546.8323349094912,569.6065379202162,591.4108933177395,640.5640121525627,692.4664549088022,733.54147087325,784.8482106170404,859.9875411287917,948.5651504292947,1064.8097023696178,1139.4767160356428,1259.4186135630775,1353.7847680415143,1386.4474241301928,1431.198778925845,1476.8408586650617,1467.5479581133263,1428.2303101172283,1367.3999771040205,1213.9202254371635,1117.0913179041988,950.3891531058873,851.0199152614058,778.535203776031,741.3249630051782,679.6113139029612,695.1064263617191,688.6346206701977,686.722538566333,687.129266779681,716.0821531661155,731.7343048973572,762.6259173216953,761.8433741236017,776.569906573462,731.8440308844455,672.6514935796922,560.0176571598963,484.55482211576515,372.61597102229,271.8736177757011,177.6956430883786,108.66568096143844,46.85780156655729,9.478261884744006,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
